tweet,created_at,retweeted,username,user_tz,user_location,user_coordinates,polaridade
 @mgfufino lula pode pegar ate 118 anos de prisao nao adianta gritar 'lula livre'  noticias brasil online  viaï¿½,Mon May 14 02:50:26 +0000 2018,False,rickwagner7,Brasilia,sao jose dos campos/sp/brasil,,negativo

mano que historia e essa de holograma do lula o que ta acontecendo com o brasil,Mon May 14 02:51:58 +0000 2018,False,torniero,Brasilia,sao paulosp,,negativo

 @cidadaodopovo lula e mantido em um cativeiro ha 35 dias na republica de curitiba como resgate os sequestradores exigem que desista daï¿½,Mon May 14 02:52:01 +0000 2018,False,maa_cardim,Brasilia,niteroi/rj,,positivo

 @paulacamara_ warlley alves no  #ufcrionocombate  lula livre   livre de toda mordomia bandido tem que ta na cadeia voce ta na cadeiï¿½,Mon May 14 03:01:35 +0000 2018,False,seujoca2moro,Brasilia,campinas,,negativo

essa semana tambem nao vou conseguir ir na celula  e eu so de um abraco e poder conversar com alguem  nao viualmente,Mon May 14 03:01:36 +0000 2018,False,vaithales,,beverly hills  ca,,neutro

 @dcm_online video vigilia pro lula em curitiba e invadida por paneleiros em acao coordenada para expulsar manifestantes ,Mon May 14 03:01:36 +0000 2018,False,heldeni3rios,Brasilia,tres rios  rj,,positivo

 @blogdopim a tvcrio  tv comunitaria do rio de janeiro  mostra uma propaganda de esquerda atras da outra boulos faz longa apologia a iï¿½,Mon May 14 03:02:30 +0000 2018,False,seujoca2moro,Brasilia,campinas,,negativo

 @flvio67909984 @radeobor @jvstratocaster @conexaopolitica ainn politicos de todo o mundo e aistas defendem o lula ah vira homem raï¿½,Mon May 14 03:03:59 +0000 2018,False,be_sobrinho,,,,negativo

 @mujicadasilva rui c pimentase lula fosse disputar as eleicoes normalmente a burguesia promoveria uma guerra civil se nao ha guerra cï¿½,Mon May 14 03:04:00 +0000 2018,False,niviaregina,Brasilia,BRASIL,,positivo

" @brunagarcia_be entre bolsonaro e lula  prefiro devolver o brasil para os indios
 gente  ate os indios estao recebendo propina  o boï¿½",Mon May 14 03:04:04 +0000 2018,False,servidiomatheus,,Rio de janeiro,,negativo

 @tomeiabuso gente a globo transmitiu a entrevista do  lula e ele citou o triplex de paraty kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,Mon May 14 03:04:04 +0000 2018,False,MarceloACoelho1,Azores,,,negativo

 @gabrlelplnhelro @hialley @bolsomoro @marcoskleine marina pretende atrair eleitores de lula  ,Mon May 14 03:05:26 +0000 2018,False,jbdireita,,ANTI-COMUNISMO,,neutro

 @yascrxl muita coincidencia os dois terem o mesmo nome e irem visitar o lula aaaa,Mon May 14 03:05:32 +0000 2018,False,thingsoflu,Pacific Time (US & Canada),"Bacabal, Brasil",,negativo

eu amo tanto a minha celula  muito obrigada senhor por tudo tudo mesmo,Mon May 14 03:05:33 +0000 2018,False,calollll,Brasilia,,,neutro

 @falandoverdes2 ator herson capri'se deixarem lula ser candidato  ele ganha de lavada'' ,Mon May 14 03:05:35 +0000 2018,False,margoth007,,,,positivo

 @samjovana eu votaria num holograma do lula mas so se o holograma governar,Mon May 14 03:05:36 +0000 2018,False,priscilamayfair,Brasilia,"Curitiba, Brasil",,positivo

gleici rainha que pisou na globo e no atorzinho forcado ,Mon May 14 03:05:36 +0000 2018,False,heronvixc,Brasilia,Sala Comunal da Corvinal ,,positivo

 @lulafalcao em 1965  um ano apos o golpe de 64  estavam previstas eleicoes presidenciais para o dia 3 de outubro jk era favorito  a elï¿½,Mon May 14 03:05:36 +0000 2018,False,PimentelAda,,,,positivo

 @seujocamoro este criminoso  ladrao  que ainda tem suditos pelo brasil  militancia cansada e comprados com moadela  tem dinheiro paraï¿½,Mon May 14 03:05:38 +0000 2018,False,HLott64,Pacific Time (US & Canada),Brasil,,negativo

 @deputadofederal lula radical e a fome ,Mon May 14 03:05:39 +0000 2018,False,gallegagonzale,,"Rosario, Argentina",,neutro

 @conexaopolitica warley alves lula livre ï¿½ livre de toda mordomia bandido tem que ta na cadeia  voce ta na cadeia e vai passar o resï¿½,Mon May 14 03:05:39 +0000 2018,False,natan1421,Pacific Time (US & Canada),"Belo Horizonte, Brasil",,negativo

faltam 17 dias para que as provas da inocencia do lula sejam destruidas  pela odebrecht parlamentares da esquerdaï¿½ ,Mon May 14 03:05:42 +0000 2018,False,glovebr,Brasilia,,,negativo

 @eurobo36 lula samba e sapateia na globo ï¿½me emprestem o triplex de paratyï¿½ouca  ,Mon May 14 03:05:42 +0000 2018,False,perini_nadia,,,,positivo

" @mmarescast eu acho que nao falta mais informacao nenhuma quanto a superioridade em aceos (erros menores) dos governos lula/pt

quemï¿½",Mon May 14 03:05:46 +0000 2018,False,AndrFigueired13,,"Cuiabï¿½, Brasil",,positivo

" @a_postagem 

a postagem blogs  carlos henrique por que lula esta preso e fhc esta livre",Mon May 14 03:05:47 +0000 2018,False,cleberlr75,Brasilia,,,positivo

 @carlosmheraclio empresario inocenta lula em caso do sitio de atibaia negociou compra com irmaos bittar  sem paicipacao de familiareï¿½,Mon May 14 03:05:49 +0000 2018,False,Garygaribaldi,,"Rio de Janeiro, Brasil",,positivo

 @ary_antipt estao foragidos os dois petistas que espancaram e tentaram assassinar empresario em frente ao instituto lula em sao pauloï¿½,Mon May 14 03:05:49 +0000 2018,False,lfascencao,Brasilia,Rio de Janeiro - Brasil,,negativo

 @robeotoledors operacao triplox  criada para pegar o lula no triplex de guaruja  acabou atingindo os irmaos marinho no triplex deï¿½,Mon May 14 03:05:51 +0000 2018,False,MarceloACoelho1,Azores,,,positivo

